nombre_limpio;recuento;longitud;stop_w
aaron;9301;5.0;False
abel;28644;4.0;False
abelardo;5303;8.0;False
abigail;35180;7.0;False
abraham;9503;7.0;False
abril;21490;5.0;False
ada;9470;3.0;False
adalberto;6606;9.0;False
adan;9095;4.0;False
adela;16000;5.0;False
adelaida;7460;8.0;False
adelina;10192;7.0;False
adolfo;23478;6.0;False
adrian;35223;6.0;False
adriana;37591;7.0;False
adriel;7355;6.0;False
agostina;19271;8.0;False
agustin;46228;7.0;False
agustina;40322;8.0;False
agustín;6197;7.0;False
aida;16074;4.0;False
ailen;18159;5.0;False
ailin;11653;5.0;False
aixa;7097;4.0;False
alan;20521;4.0;False
alba;14102;4.0;False
alberto;81396;7.0;False
albina;5536;6.0;False
albino;5090;6.0;False
alcides;14717;7.0;False
alcira;11180;6.0;False
aldana;22093;6.0;False
aldo;19291;4.0;False
alejandra;62829;9.0;False
alejandro;77002;9.0;False
alejo;15075;5.0;False
alex;12811;4.0;False
alexander;24217;9.0;False
alexandra;12546;9.0;False
alexia;7557;6.0;False
alexis;32318;6.0;False
alfonso;11624;7.0;False
alfredo;43111;7.0;False
alicia;45548;6.0;False
alma;11945;4.0;False
alvaro;11407;6.0;False
amadeo;7464;6.0;False
amado;7573;5.0;False
amalia;20503;6.0;False
amanda;15576;6.0;False
ambar;5931;5.0;False
amelia;18837;6.0;False
america;5334;7.0;False
americo;10423;7.0;False
amilcar;6906;7.0;False
ana;65118;3.0;False
anabel;16862;6.0;False
anabela;9489;7.0;False
anabella;12422;8.0;False
anahi;27242;5.0;False
analia;26235;6.0;False
andrea;54040;6.0;False
andres;48297;6.0;False
andrés;6940;6.0;False
angel;68935;5.0;False
angela;37824;6.0;False
angeles;38925;7.0;False
angelica;30652;8.0;False
angelina;12619;8.0;False
anibal;26412;6.0;False
anita;5673;5.0;False
anselmo;6588;7.0;False
antonela;15243;8.0;False
antonella;28920;9.0;False
antonia;39738;7.0;False
antonio;85670;7.0;False
araceli;25829;7.0;False
argentina;13393;9.0;False
argentino;9248;9.0;False
ariadna;11160;7.0;False
ariana;15186;6.0;False
ariel;48350;5.0;False
armando;27523;7.0;False
arminda;5276;7.0;False
arnaldo;15838;7.0;False
arturo;18107;6.0;False
asuncion;6756;8.0;False
atilio;12191;6.0;False
augusto;22824;7.0;False
aurelia;7529;7.0;False
aurelio;7591;7.0;False
aurora;17288;6.0;False
axel;18336;4.0;False
ayelen;30532;6.0;False
aylen;18013;5.0;False
aymara;5418;6.0;False
azucena;16585;7.0;False
azul;12081;4.0;False
baltazar;5168;8.0;False
barbara;14696;7.0;False
bautista;19434;8.0;False
beatriz;77529;7.0;False
belen;38383;5.0;False
belén;8636;5.0;False
benicio;5352;7.0;False
benita;5626;6.0;False
benito;12454;6.0;False
benjamin;31488;8.0;False
benjamín;5134;8.0;False
berenice;8877;8.0;False
bernabe;6225;7.0;False
bernardo;14344;8.0;False
berta;10258;5.0;False
betiana;8176;7.0;False
bianca;13014;6.0;False
bibiana;6599;7.0;False
blanca;28413;6.0;False
blas;9387;4.0;False
braian;13000;6.0;False
brandon;7735;7.0;False
brenda;21059;6.0;False
brian;17120;5.0;False
brisa;14445;5.0;False
bruno;18709;5.0;False
camila;31991;6.0;False
camilo;9516;6.0;False
candela;17581;7.0;False
candelaria;8535;10.0;False
carina;17773;6.0;False
carla;26471;5.0;False
carlos;93293;6.0;False
carmelo;6711;7.0;False
carmen;101205;6.0;False
carola;5718;6.0;False
carolina;45190;8.0;False
catalina;31912;8.0;False
catriel;6012;7.0;False
cayetano;7773;8.0;False
cecilia;40178;7.0;False
ceferino;14537;8.0;False
celeste;33450;7.0;False
celestina;5695;9.0;False
celestino;5779;9.0;False
celia;20407;5.0;False
celina;16343;6.0;False
celso;5883;5.0;False
cesar;40299;5.0;False
christian;11778;9.0;False
cielo;5922;5.0;False
cinthia;8003;7.0;False
cintia;17251;6.0;False
ciro;8184;4.0;False
clara;26141;5.0;False
claribel;5205;8.0;False
clarisa;7385;7.0;False
claudia;35576;7.0;False
claudio;29225;7.0;False
clelia;6378;6.0;False
clemente;6498;8.0;False
clementina;5757;10.0;False
clotilde;5206;8.0;False
concepcion;14473;10.0;False
constanza;11394;9.0;False
corina;8522;6.0;False
cristian;38753;8.0;False
cristina;43509;8.0;False
cristobal;6457;9.0;False
cruz;18342;4.0;False
cynthia;8969;7.0;False
daiana;31149;6.0;False
dalila;7330;6.0;False
dalma;7368;5.0;False
damaris;10093;7.0;False
damian;29972;6.0;False
dana;9522;4.0;False
daniel;81435;6.0;False
daniela;45487;7.0;False
danilo;9854;6.0;False
dante;20357;5.0;False
dardo;7670;5.0;False
dario;34897;5.0;False
david;58067;5.0;False
dayana;6144;6.0;False
debora;16944;6.0;False
delfina;17191;7.0;False
delia;25133;5.0;False
delicia;6636;7.0;False
demetrio;5170;8.0;False
demian;6289;6.0;False
denis;11874;5.0;False
denise;15437;6.0;False
denisse;5414;7.0;False
deolinda;8608;8.0;False
diana;18607;5.0;False
diego;37973;5.0;False
dina;7389;4.0;False
dionisio;6630;8.0;False
dolores;22455;7.0;False
dominga;16750;7.0;False
domingo;29113;7.0;False
donato;5504;6.0;False
dora;24942;4.0;False
doris;5048;5.0;False
dylan;12216;5.0;False
edgar;14592;5.0;False
edgardo;25511;7.0;False
edit;8983;4.0;False
edith;35499;5.0;False
edmundo;7409;7.0;False
eduardo;62823;7.0;False
efrain;8131;6.0;False
elba;20405;4.0;False
elda;10178;4.0;False
elena;44607;5.0;False
eleonora;6160;8.0;False
elian;7608;5.0;False
eliana;25693;6.0;False
elias;27469;5.0;False
elida;17380;5.0;False
elina;8720;5.0;False
elio;10259;4.0;False
elisa;26876;5.0;False
elisabet;17549;8.0;False
elisabeth;13045;9.0;False
eliseo;11863;6.0;False
elizabet;12164;8.0;False
elizabeth;59801;9.0;False
eloisa;6340;6.0;False
eloy;7799;4.0;False
elsa;31976;4.0;False
eluney;6762;6.0;False
elva;11400;4.0;False
elvio;8520;5.0;False
elvira;22756;6.0;False
ema;8952;3.0;False
emanuel;36076;7.0;False
emilce;17954;6.0;False
emilia;24974;6.0;False
emiliano;22025;8.0;False
emilio;26410;6.0;False
emilse;11955;6.0;False
emir;6892;4.0;False
emma;15182;4.0;False
emmanuel;17841;8.0;False
enrique;46135;7.0;False
enriqueta;6606;9.0;False
enzo;19433;4.0;False
eric;9361;4.0;False
erica;16026;5.0;False
erik;5439;4.0;False
erika;15383;5.0;False
ermelinda;5655;9.0;False
ernestina;7329;9.0;False
ernesto;34232;7.0;False
esmeralda;10714;9.0;False
esperanza;9486;9.0;False
esteban;40982;7.0;False
estefania;26406;9.0;False
estela;32800;6.0;False
ester;35274;5.0;False
esther;38879;6.0;False
estrella;7206;8.0;False
etelvina;7499;8.0;False
ethel;6579;5.0;False
eugenia;25600;7.0;False
eugenio;16140;7.0;False
eusebio;7941;7.0;False
eva;26652;3.0;False
evangelina;16949;10.0;False
evaristo;5957;8.0;False
evelin;13627;6.0;False
evelyn;19525;6.0;False
exequiel;22578;8.0;False
ezequiel;53098;8.0;False
fabian;32390;6.0;False
fabiana;22912;7.0;False
fabio;11673;5.0;False
fabiola;8536;7.0;False
fabricio;15810;8.0;False
fabrizio;6655;8.0;False
facundo;29729;7.0;False
fanny;8605;5.0;False
fatima;18520;6.0;False
faustino;7455;8.0;False
fausto;5286;6.0;False
federico;35284;8.0;False
feliciano;5336;9.0;False
felipa;5190;6.0;False
felipe;22505;6.0;False
felisa;11695;6.0;False
felix;21513;5.0;False
fermin;8837;6.0;False
fernanda;29456;8.0;False
fernando;50707;8.0;False
fidel;8674;5.0;False
filomena;6086;8.0;False
fiorella;9849;8.0;False
flavia;13823;6.0;False
flavio;6763;6.0;False
flora;5051;5.0;False
florencia;40604;9.0;False
florencio;7759;9.0;False
francesca;6060;9.0;False
francisca;25187;9.0;False
francisco;63484;9.0;False
franco;30082;6.0;False
gabriel;68543;7.0;False
gabriela;50016;8.0;False
gael;6945;4.0;False
gaspar;8448;6.0;False
gaston;24044;6.0;False
genaro;8792;6.0;False
genoveva;5653;8.0;False
georgina;11649;8.0;False
geraldine;11635;9.0;False
gerardo;23948;7.0;False
german;24866;6.0;False
geronimo;10400;8.0;False
gianella;5419;8.0;False
gilberto;5639;8.0;False
gilda;7668;5.0;False
gimena;11948;6.0;False
giovanni;5659;8.0;False
gisel;12319;5.0;False
gisela;24413;6.0;False
gisele;6887;6.0;False
gisella;6513;7.0;False
giselle;14180;7.0;False
giuliana;13408;8.0;False
gladis;15080;6.0;False
gladys;31894;6.0;False
gloria;23412;6.0;False
gonzalo;28589;7.0;False
graciela;47376;8.0;False
gregoria;7365;8.0;False
gregorio;15038;8.0;False
grisel;5444;6.0;False
griselda;24321;8.0;False
guadalupe;43919;9.0;False
guido;11408;5.0;False
guillermina;13765;11.0;False
guillermo;38520;9.0;False
gustavo;44564;7.0;False
haydee;23234;6.0;False
hebe;6168;4.0;False
hector;49405;6.0;False
heriberto;5095;9.0;False
herminia;7822;8.0;False
hernan;29451;6.0;False
hilario;6172;7.0;False
hilda;19996;5.0;False
hipolito;7542;8.0;False
horacio;33149;7.0;False
hortencia;5569;9.0;False
hortensia;5007;9.0;False
hugo;44829;4.0;False
humberto;21849;8.0;False
ian;13871;3.0;False
iara;11054;4.0;False
ida;5284;3.0;False
ignacia;6592;7.0;False
ignacio;39475;7.0;False
ilda;8168;4.0;False
ileana;5741;6.0;False
ines;39441;4.0;False
ingrid;10071;6.0;False
inés;5866;4.0;False
irene;23791;5.0;False
irina;7567;5.0;False
iris;19107;4.0;False
irma;25409;4.0;False
isaac;13534;5.0;False
isabel;57246;6.0;False
isabella;8044;8.0;False
isaias;15201;6.0;False
isidro;8822;6.0;False
ismael;30074;6.0;False
isolina;5904;7.0;False
israel;6532;6.0;False
itati;23059;5.0;False
ivan;29955;4.0;False
ivana;20858;5.0;False
ivonne;6671;6.0;False
jacinta;5095;7.0;False
jacinto;7866;7.0;False
jacqueline;16218;10.0;False
jael;6539;4.0;False
jaime;8872;5.0;False
jairo;5715;5.0;False
janet;13711;5.0;False
jaquelina;9894;9.0;False
jaqueline;10405;9.0;False
javier;52506;6.0;False
jazmin;24236;6.0;False
jenifer;6094;7.0;False
jennifer;11115;8.0;False
jeremias;13552;8.0;False
jesica;14997;6.0;False
jessica;11455;7.0;False
jesus;84641;5.0;False
jesús;15226;5.0;False
jimena;15558;6.0;False
joana;8296;5.0;False
joaquin;28917;7.0;False
joel;24362;4.0;False
johana;12720;6.0;False
johanna;10627;7.0;False
jonas;6726;5.0;False
jonatan;14847;7.0;False
jonathan;20707;8.0;False
jorge;65478;5.0;False
jorgelina;17441;9.0;False
jose;116518;4.0;False
josefa;17874;6.0;False
josefina;25754;8.0;False
josue;9646;5.0;False
josé;22035;4.0;False
juan;110285;4.0;False
juana;40590;5.0;False
judith;19205;6.0;False
julia;29417;5.0;False
julian;22904;6.0;False
juliana;17092;7.0;False
julieta;27677;7.0;False
julio;36119;5.0;False
junior;5579;6.0;False
justina;6430;7.0;False
justo;8846;5.0;False
karen;20633;5.0;False
karina;21676;6.0;False
katherine;6943;9.0;False
keila;6375;5.0;False
kevin;17771;5.0;False
kiara;11089;5.0;False
lara;12710;4.0;False
laura;45600;5.0;False
laureano;8989;8.0;False
lautaro;26135;7.0;False
lazaro;6109;6.0;False
leandro;30347;7.0;False
leila;11036;5.0;False
leon;7747;4.0;False
leonardo;37370;8.0;False
leonel;30181;6.0;False
leonela;10126;7.0;False
leonor;23783;6.0;False
leopoldo;8607;8.0;False
leticia;18297;7.0;False
lia;9721;3.0;False
lidia;31675;5.0;False
lilia;10627;5.0;False
lilian;15755;6.0;False
liliana;37903;7.0;False
lina;6163;4.0;False
lionel;14386;6.0;False
lis;5934;3.0;False
lisandro;14422;8.0;False
liz;10786;3.0;False
loreley;5299;7.0;False
lorena;33940;6.0;False
lorenza;6019;7.0;False
lorenzo;19225;7.0;False
lourdes;40587;7.0;False
luana;10935;5.0;False
luca;6630;4.0;False
lucas;37353;5.0;False
lucia;53016;5.0;False
luciana;29386;7.0;False
luciano;29571;7.0;False
lucila;15609;6.0;False
lucio;14215;5.0;False
lucrecia;16454;8.0;False
ludmila;21323;7.0;False
luis;90356;4.0;False
luisa;32514;5.0;False
luisana;6570;7.0;False
luisina;5214;7.0;False
lujan;45211;5.0;False
luján;5513;5.0;False
luna;9911;4.0;False
luz;38534;3.0;False
mabel;41050;5.0;False
macarena;20538;8.0;False
magali;26002;6.0;False
magdalena;27714;9.0;False
maia;10834;4.0;False
mailen;11762;6.0;False
maira;11607;5.0;False
maite;9097;5.0;False
malena;13785;6.0;False
malvina;6239;7.0;False
manuel;53448;6.0;False
manuela;13502;7.0;False
mara;11076;4.0;False
marcela;33467;7.0;False
marcelina;7546;9.0;False
marcelino;9597;9.0;False
marcelo;47459;7.0;False
marcia;7151;6.0;False
marcial;6260;7.0;False
marco;7995;5.0;False
marcos;33842;6.0;False
margarita;42237;9.0;False
maria;297069;5.0;False
mariana;33361;7.0;False
marianela;16045;9.0;False
mariano;27836;7.0;False
maribel;15938;7.0;False
maricel;12857;7.0;False
mariel;22086;6.0;False
mariela;25531;7.0;False
marilin;6592;7.0;False
marilyn;5369;7.0;False
marina;31212;6.0;False
mario;48415;5.0;False
maris;5431;5.0;False
marisa;17788;6.0;False
marisel;10444;7.0;False
marisol;19047;7.0;False
marlene;13426;7.0;False
marta;39702;5.0;False
martha;15850;6.0;False
martin;53315;6.0;False
martina;28202;7.0;False
martín;5172;6.0;False
mary;6788;4.0;False
maría;24151;5.0;False
mateo;20569;5.0;False
matias;41189;6.0;False
matilde;16622;7.0;False
mauricio;26577;8.0;False
mauro;17826;5.0;False
maximiliano;37397;11.0;False
maximo;16100;6.0;False
mayra;12340;5.0;False
melani;9250;6.0;False
melanie;10176;7.0;False
melany;8563;6.0;False
melina;22040;6.0;False
melisa;17494;6.0;False
melody;5756;6.0;False
mercedes;61244;8.0;False
mia;15300;3.0;False
micaela;40335;7.0;False
michael;6578;7.0;False
michel;5348;6.0;False
michelle;7585;8.0;False
miguel;59297;6.0;False
milagro;23692;7.0;False
milagros;50785;8.0;False
milena;16335;6.0;False
milton;9750;6.0;False
miqueas;5503;7.0;False
miriam;21025;6.0;False
mirian;11951;6.0;False
mirna;7930;5.0;False
mirta;27862;5.0;False
mirtha;10355;6.0;False
misael;8628;6.0;False
moises;9192;6.0;False
monica;29901;6.0;False
morena;17614;6.0;False
myriam;8842;6.0;False
nadia;16565;5.0;False
nahiara;13121;7.0;False
nahir;19863;5.0;False
nahuel;34461;6.0;False
naiara;7731;6.0;False
nair;12408;4.0;False
nanci;5007;5.0;False
nancy;24669;5.0;False
naomi;6983;5.0;False
natali;13135;6.0;False
natalia;38943;7.0;False
nataly;5431;6.0;False
natanael;8682;8.0;False
natasha;7915;7.0;False
natividad;11711;9.0;False
nayla;6045;5.0;False
nazarena;9782;8.0;False
nazareno;14957;8.0;False
nehuen;5985;6.0;False
nelida;30189;6.0;False
nelly;16527;5.0;False
nelson;20367;6.0;False
nerea;9584;5.0;False
neri;5581;4.0;False
nerina;5944;6.0;False
nestor;28514;6.0;False
nicol;8247;5.0;False
nicolas;60745;7.0;False
nicolasa;8608;8.0;False
nicole;21112;6.0;False
nicolás;10934;7.0;False
nidia;11288;5.0;False
nieves;11492;6.0;False
nilda;23039;5.0;False
noel;9114;4.0;False
noelia;32660;6.0;False
noemi;53637;5.0;False
noemí;5052;5.0;False
nora;22115;4.0;False
norberto;22071;8.0;False
norma;36664;5.0;False
octavio;12675;7.0;False
ofelia;14044;6.0;False
olga;31643;4.0;False
omar;43412;4.0;False
oriana;13950;6.0;False
orlando;29582;7.0;False
ornella;6317;7.0;False
oscar;63570;5.0;False
osmar;10885;5.0;False
osvaldo;32256;7.0;False
pablo;53763;5.0;False
paloma;5368;6.0;False
pamela;20577;6.0;False
paola;33496;5.0;False
pascual;10941;7.0;False
patricia;41942;8.0;False
patricio;19657;8.0;False
paul;6785;4.0;False
paula;31568;5.0;False
paulina;13623;7.0;False
paulo;7942;5.0;False
paz;6814;3.0;False
pedro;50144;5.0;False
perla;7711;5.0;False
petrona;11409;7.0;False
pia;5703;3.0;False
pilar;26706;5.0;False
priscila;21359;8.0;False
quimey;5634;6.0;False
rafael;33772;6.0;False
rafaela;7756;7.0;False
ramiro;19364;6.0;False
ramon;78403;5.0;False
ramona;54033;6.0;False
ramón;11328;5.0;False
raquel;38917;6.0;False
raul;44686;4.0;False
raúl;6176;4.0;False
rebeca;11292;6.0;False
regina;9514;6.0;False
reina;7285;5.0;False
reinaldo;10429;8.0;False
renata;6570;6.0;False
rene;23008;4.0;False
renee;7164;5.0;False
renzo;7233;5.0;False
reynaldo;6945;8.0;False
ricardo;50714;7.0;False
richard;5769;7.0;False
rita;33323;4.0;False
roberto;53076;7.0;False
rocio;38928;5.0;False
rodolfo;30074;7.0;False
rodrigo;32785;7.0;False
rogelio;12469;7.0;False
rolando;20575;7.0;False
roman;16228;5.0;False
romina;33044;6.0;False
roque;22456;5.0;False
rosa;79002;4.0;False
rosalia;15116;7.0;False
rosana;20075;6.0;False
rosario;55227;7.0;False
roxana;23209;6.0;False
ruben;45354;5.0;False
rufino;5114;6.0;False
ruth;26476;4.0;False
sabina;8094;6.0;False
sabrina;22312;7.0;False
salome;7666;6.0;False
salvador;20156;8.0;False
samanta;7228;7.0;False
samira;7051;6.0;False
samuel;19272;6.0;False
sandra;25062;6.0;False
sandro;6112;6.0;False
santa;7054;5.0;False
santiago;43010;8.0;False
santino;13431;7.0;False
santos;20231;6.0;False
sara;29177;4.0;False
saul;10084;4.0;False
sebastian;43569;9.0;False
segundo;19068;7.0;False
selena;7404;6.0;False
selene;11286;6.0;False
selva;8300;5.0;False
sergio;38502;6.0;False
sharon;5365;6.0;False
sheila;8578;6.0;False
shirley;5487;7.0;False
silvana;23019;7.0;False
silvestre;5075;9.0;False
silvia;40056;6.0;False
silvina;21089;7.0;False
silvio;11930;6.0;False
simon;11648;5.0;False
sixto;6646;5.0;False
sofia;40849;5.0;False
sofía;5256;5.0;False
sol;19840;3.0;False
solange;23468;7.0;False
soledad;57140;7.0;False
sonia;21931;5.0;False
soraya;5519;6.0;False
stefania;10399;8.0;False
stella;8294;6.0;False
susana;46849;6.0;False
tadeo;5938;5.0;False
tamara;23593;6.0;False
tania;11190;5.0;False
tatiana;18687;7.0;False
teodoro;6362;7.0;False
teresa;44688;6.0;False
teresita;16666;8.0;False
thiago;15254;6.0;False
thomas;7166;6.0;False
tiago;6065;5.0;False
tiziana;8299;7.0;False
tiziano;10546;7.0;False
tobias;9784;6.0;False
tomas;29660;5.0;False
tomasa;6084;6.0;False
tomás;6832;5.0;False
transito;7839;8.0;False
trinidad;14220;8.0;False
ubaldo;5824;6.0;False
ulises;14948;6.0;False
uma;5140;3.0;False
uriel;16248;5.0;False
valentin;21074;8.0;False
valentina;32450;9.0;False
valentino;9707;9.0;False
valeria;30502;7.0;False
valle;86277;5.0;False
vanesa;30298;6.0;False
vanessa;6892;7.0;False
vanina;16436;6.0;False
veronica;37057;8.0;False
verónica;5156;8.0;False
vicenta;8634;7.0;False
vicente;23923;7.0;False
victor;40582;6.0;False
victoria;50130;8.0;False
victorio;5580;8.0;False
vilma;13450;5.0;False
violeta;12328;7.0;False
virginia;27988;8.0;False
viviana;29210;7.0;False
walter;36589;6.0;False
wanda;5927;5.0;False
william;7849;7.0;False
wilson;6848;6.0;False
xavier;5848;6.0;False
ximena;11149;6.0;False
xiomara;11724;7.0;False
yael;13986;4.0;False
yair;6938;4.0;False
yamil;12683;5.0;False
yamila;24995;6.0;False
yamile;5171;6.0;False
yanel;5744;5.0;False
yanet;12683;5.0;False
yanina;25492;6.0;False
yasmin;10758;6.0;False
yazmin;9465;6.0;False
yesica;14532;6.0;False
yoel;7349;4.0;False
yohana;7205;6.0;False
yolanda;29107;7.0;False
yuliana;7323;7.0;False
zaira;7202;5.0;False
zoe;13548;3.0;False
zulema;17956;6.0;False
zulma;13619;5.0;False
zunilda;8222;7.0;False
