Nombre;Tipo;Numeración;Nombre_limpio;Token0;Token1;Token2;Token3;Token4;Token5;Token6;Token7;Token8;Token9;Token10;Token11;Token12;Token13;Token14
esc.n°230 bajo hondo;esc.;n°230;bajo hondo;bajo;hondo;;;;;;;;;;;;;
esc.n°353 batallon de ing. de construcciones 141;esc.;n°353;batallon de ing. de construcciones 141;batallon;de;ing.;de;construcciones;141;;;;;;;;;
jardin de infantes n°39 rincon de luz;jardin de infantes;n°39;rincon de luz;rincon;de;luz;;;;;;;;;;;;
jardin de infantes n°01 federico froebel;jardin de infantes;n°01;federico froebel;federico;froebel;;;;;;;;;;;;;
jardin de infantes n°01 munic.beatriz de la v.de costa medina;jardin de infantes;n°01;munic.beatriz de la v.de costa medina;munic.beatriz;de;la;v.de;costa;medina;;;;;;;;;
esc.n°178 dia de las americas;esc.;n°178;dia de las americas;dia;de;las;americas;;;;;;;;;;;
esc.n°386;esc.;n°386;;;;;;;;;;;;;;;;
esc.n°162 pablo vi;esc.;n°162;pablo vi;pablo;vi;;;;;;;;;;;;;
esc.n°218 mercedes de stipanicci;esc.;n°218;mercedes de stipanicci;mercedes;de;stipanicci;;;;;;;;;;;;
jardin de infantes n°35 estela peñaloza camet;jardin de infantes;n°35;estela peñaloza camet;estela;peñaloza;camet;;;;;;;;;;;;
colegio privado william morris;colegio;;privado william morris;privado;william;morris;;;;;;;;;;;;
jardin de infantes n°26 arlecchino;jardin de infantes;n°26;arlecchino;arlecchino;;;;;;;;;;;;;;
jardin de infantes n°34 merceditas de san martin;jardin de infantes;n°34;merceditas de san martin;merceditas;de;san;martin;;;;;;;;;;;
esc.n°249 general manuel belgrano;esc.;n°249;general manuel belgrano;general;manuel;belgrano;;;;;;;;;;;;
esc.n°252 bernardino rivadavia;esc.;n°252;bernardino rivadavia;bernardino;rivadavia;;;;;;;;;;;;;
i.a.e.s. superior y secundario;;;i.a.e.s. superior y secundario;i.a.e.s.;superior;y;secundario;;;;;;;;;;;
esc.n°191 sarmiento;esc.;n°191;sarmiento;sarmiento;;;;;;;;;;;;;;
esc.n°395 malvinas argentinas;esc.;n°395;malvinas argentinas;malvinas;argentinas;;;;;;;;;;;;;
esc.n°287 maestro armando herrera robledo;esc.;n°287;maestro armando herrera robledo;maestro;armando;herrera;robledo;;;;;;;;;;;
jardin de infantes n°33 liliana albarracin;jardin de infantes;n°33;liliana albarracin;liliana;albarracin;;;;;;;;;;;;;
jardin de infantes n°15 hnas.agazzi;jardin de infantes;n°15;hnas.agazzi;hnas.agazzi;;;;;;;;;;;;;;
jardin de infantes n°25 maria mercedes roldan;jardin de infantes;n°25;maria mercedes roldan;maria;mercedes;roldan;;;;;;;;;;;;
esc.n°054 provincia de buenos aires;esc.;n°054;provincia de buenos aires;provincia;de;buenos;aires;;;;;;;;;;;
esc.n°308 dardo de la vega diaz;esc.;n°308;dardo de la vega diaz;dardo;de;la;vega;diaz;;;;;;;;;;
esc.n°167;esc.;n°167;;;;;;;;;;;;;;;;
esc.n°326 estaurofila luna de granillo;esc.;n°326;estaurofila luna de granillo;estaurofila;luna;de;granillo;;;;;;;;;;;
esc.n°201 juan francisco carrizo;esc.;n°201;juan francisco carrizo;juan;francisco;carrizo;;;;;;;;;;;;
esc.n°309 gdor.manuel v.bustos;esc.;n°309;gdor.manuel v.bustos;gdor.manuel;v.bustos;;;;;;;;;;;;;
esc.n°232 brigida ramirez de de la vega;esc.;n°232;brigida ramirez de de la vega;brigida;ramirez;de;de;la;vega;;;;;;;;;
esc.n°314 dr.tomas manuel de anchorena;esc.;n°314;dr.tomas manuel de anchorena;dr.tomas;manuel;de;anchorena;;;;;;;;;;;
jardin de infantes n°27 rosario v.peñaloza;jardin de infantes;n°27;rosario v.peñaloza;rosario;v.peñaloza;;;;;;;;;;;;;
escuela especial n°382 aleluya;escuela;n°382;especial  aleluya;especial;;aleluya;;;;;;;;;;;;
jardin de infantes n°16 maria g.busto de de la colina;jardin de infantes;n°16;maria g.busto de de la colina;maria;g.busto;de;de;la;colina;;;;;;;;;
escuela especial n°338 fray mamerto esquiu;escuela;n°338;especial  fray mamerto esquiu;especial;;fray;mamerto;esquiu;;;;;;;;;;
esc.n°174 provincia de saltaj.c.;esc.;n°174;provincia de saltaj.c.;provincia;de;saltaj.c.;;;;;;;;;;;;
esc.n°051 provincia de jujuy;esc.;n°051;provincia de jujuy;provincia;de;jujuy;;;;;;;;;;;;
centro educativo para jovenes y adultos (ex.bach.p/adulto);;;centro educativo para jovenes y adultos (ex.bach.p/adulto);centro;educativo;para;jovenes;y;adultos;(ex.bach.p/adulto);;;;;;;;
esc.n°365 provincia de misiones;esc.;n°365;provincia de misiones;provincia;de;misiones;;;;;;;;;;;;
esc.n°299 juan jose paso;esc.;n°299;juan jose paso;juan;jose;paso;;;;;;;;;;;;
escuela provincial de comercio n°1 prof.enrique f.clara;escuela;n°1;provincial de comercio  prof.enrique f.clara;provincial;de;comercio;;prof.enrique;f.clara;;;;;;;;;
esc.privada gabriela mistral (ex-jornada completa);esc.;;privada gabriela mistral (ex-jornada completa);privada;gabriela;mistral;(ex-jornada;completa);;;;;;;;;;
esc.n°369 maestro humberto pereyra;esc.;n°369;maestro humberto pereyra;maestro;humberto;pereyra;;;;;;;;;;;;
esc.n°245 pedro ignacio de castro barros;esc.;n°245;pedro ignacio de castro barros;pedro;ignacio;de;castro;barros;;;;;;;;;;
i.s.f.d. albino sanchez barros;;;i.s.f.d. albino sanchez barros;i.s.f.d.;albino;sanchez;barros;;;;;;;;;;;
jardin de infantes n°02 maria montessori;jardin de infantes;n°02;maria montessori;maria;montessori;;;;;;;;;;;;;
esc.n°246 general ortiz de ocampo;esc.;n°246;general ortiz de ocampo;general;ortiz;de;ocampo;;;;;;;;;;;
esc.n°280 tambor de tacuari;esc.;n°280;tambor de tacuari;tambor;de;tacuari;;;;;;;;;;;;
jardin de infantes n°36 nicolas lanzilloto;jardin de infantes;n°36;nicolas lanzilloto;nicolas;lanzilloto;;;;;;;;;;;;;
colegio provincial n°02;colegio;n°02;provincial;provincial;;;;;;;;;;;;;;
esc.n°361 expedicion auxiliar zelada davila;esc.;n°361;expedicion auxiliar zelada davila;expedicion;auxiliar;zelada;davila;;;;;;;;;;;
i.s.f.d. y t. en arte y comunicacion alberto crulcich;;;i.s.f.d. y t. en arte y comunicacion alberto crulcich;i.s.f.d.;y;t.;en;arte;y;comunicacion;alberto;crulcich;;;;;;
colegio provincial n°01 joaquin v.gonzalez;colegio;n°01;provincial  joaquin v.gonzalez;provincial;;joaquin;v.gonzalez;;;;;;;;;;;
jardin de infantes n°29 niño jesus alcalde;jardin de infantes;n°29;niño jesus alcalde;niño;jesus;alcalde;;;;;;;;;;;;
esc.n°394 san jose de calasanz;esc.;n°394;san jose de calasanz;san;jose;de;calasanz;;;;;;;;;;;
colegio provincial n°03 lic.lidia chavez de brizuela;colegio;n°03;provincial  lic.lidia chavez de brizuela;provincial;;lic.lidia;chavez;de;brizuela;;;;;;;;;
esc.n°164 juana loreto de arguello;esc.;n°164;juana loreto de arguello;juana;loreto;de;arguello;;;;;;;;;;;
colegio provincial de villa sanagasta;colegio;;provincial de villa sanagasta;provincial;de;villa;sanagasta;;;;;;;;;;;
esc.n°011 provincia de tucuman;esc.;n°011;provincia de tucuman;provincia;de;tucuman;;;;;;;;;;;;
esc.n°175 gral.belgrano;esc.;n°175;gral.belgrano;gral.belgrano;;;;;;;;;;;;;;
esc.n°248 francisca geronima barros;esc.;n°248;francisca geronima barros;francisca;geronima;barros;;;;;;;;;;;;
esc.n°257 gral.jose de san martin;esc.;n°257;gral.jose de san martin;gral.jose;de;san;martin;;;;;;;;;;;
instituto parroquial pedro goyena;instituto;;parroquial pedro goyena;parroquial;pedro;goyena;;;;;;;;;;;;
esc.n°195 provincia de catamarca;esc.;n°195;provincia de catamarca;provincia;de;catamarca;;;;;;;;;;;;
colegio cornelio sanchez oviedo-anexo esc.de comercio;colegio;;cornelio sanchez oviedo-anexo de comercio;cornelio;sanchez;oviedo-anexo;de;comercio;;;;;;;;;;
colegio cornelio sanchez oviedo (esc. n°51);colegio;n°51;cornelio sanchez oviedo ( );cornelio;sanchez;oviedo;(;);;;;;;;;;;
esc.parroquial n°336 inmaculada concepcion;esc.;n°336;parroquial  inmaculada concepcion;parroquial;;inmaculada;concepcion;;;;;;;;;;;
j.i.n. n°9 maria lidia villafañe de diaz luna;;n°9;j.i.n.  maria lidia villafañe de diaz luna;j.i.n.;;maria;lidia;villafañe;de;diaz;luna;;;;;;;
j.i.n. n°9 extension 01 maria isabel vilches;;n°9;j.i.n.  extension 01 maria isabel vilches;j.i.n.;;extension;01;maria;isabel;vilches;;;;;;;;
esc.n°010;esc.;n°010;;;;;;;;;;;;;;;;
escuela especial n°377 obispo enrique angelelli;escuela;n°377;especial  obispo enrique angelelli;especial;;obispo;enrique;angelelli;;;;;;;;;;
esc.n°199 republica de venezuela;esc.;n°199;republica de venezuela;republica;de;venezuela;;;;;;;;;;;;
esc.n°398 monseñor angelelli;esc.;n°398;monseñor angelelli;monseñor;angelelli;;;;;;;;;;;;;
jardin de infantes n°03 constancio c.vigil;jardin de infantes;n°03;constancio c.vigil;constancio;c.vigil;;;;;;;;;;;;;
centro polivalente de arte e.guzman loza;;;centro polivalente de arte e.guzman loza;centro;polivalente;de;arte;e.guzman;loza;;;;;;;;;
esc.n°190 gral.san martin;esc.;n°190;gral.san martin;gral.san;martin;;;;;;;;;;;;;
esc.n°192 dr.nicolas avellaneda;esc.;n°192;dr.nicolas avellaneda;dr.nicolas;avellaneda;;;;;;;;;;;;;
esc.n°341 fray laurencio torres;esc.;n°341;fray laurencio torres;fray;laurencio;torres;;;;;;;;;;;;
jardin de infantes n°13 rosa vera barros;jardin de infantes;n°13;rosa vera barros;rosa;vera;barros;;;;;;;;;;;;
instituto privado juan enrique pestalozzi;instituto;;privado juan enrique pestalozzi;privado;juan;enrique;pestalozzi;;;;;;;;;;;
esc.n°055 jose santiago pioli;esc.;n°055;jose santiago pioli;jose;santiago;pioli;;;;;;;;;;;;
esc.n°032 caudillos riojanos;esc.;n°032;caudillos riojanos;caudillos;riojanos;;;;;;;;;;;;;
esc.n°396 caudillos riojanos;esc.;n°396;caudillos riojanos;caudillos;riojanos;;;;;;;;;;;;;
esc.n°017 la rioja española;esc.;n°017;la rioja española;la;rioja;española;;;;;;;;;;;;
jardin de infantes n°21 myriam hayquell de andres;jardin de infantes;n°21;myriam hayquell de andres;myriam;hayquell;de;andres;;;;;;;;;;;
jardin de infantes n°05 sara de eccleston;jardin de infantes;n°05;sara de eccleston;sara;de;eccleston;;;;;;;;;;;;
esc.n°108;esc.;n°108;;;;;;;;;;;;;;;;
i.s.f.d. de ciencias sociales/de hist0ria;;;i.s.f.d. de ciencias sociales/de hist0ria;i.s.f.d.;de;ciencias;sociales/de;hist0ria;;;;;;;;;;
esc.n°204;esc.;n°204;;;;;;;;;;;;;;;;
esc.n°235 luis papinutti;esc.;n°235;luis papinutti;luis;papinutti;;;;;;;;;;;;;
esc.n°200;esc.;n°200;;;;;;;;;;;;;;;;
esc.n°066 mtro.antonio osvaldo vega;esc.;n°066;mtro.antonio osvaldo vega;mtro.antonio;osvaldo;vega;;;;;;;;;;;;
esc.n°159 escuadron 24 gendarmeria nacional;esc.;n°159;adron 24 gendarmeria nacional;adron;24;gendarmeria;nacional;;;;;;;;;;;
esc.n°063 maestro guillermo e.rios;esc.;n°063;maestro guillermo e.rios;maestro;guillermo;e.rios;;;;;;;;;;;;
instituto privado jose m.estrada;instituto;;privado jose m.estrada;privado;jose;m.estrada;;;;;;;;;;;;
instituto privado jose m.estrada (esc.n°44 filomena de gondolo);instituto;n°44;privado jose m.estrada ( filomena de gondolo);privado;jose;m.estrada;(;filomena;de;gondolo);;;;;;;;
colegio parroquial jose m.estrada (esc. n°63);colegio;n°63;parroquial jose m.estrada ( );parroquial;jose;m.estrada;(;);;;;;;;;;;
j.i.n. n°8;;n°8;j.i.n.;j.i.n.;;;;;;;;;;;;;;
j.i.n. n°8 extension 01;;n°8;j.i.n.  extension 01;j.i.n.;;extension;01;;;;;;;;;;;
j.i.n. n°8 extension 02;;n°8;j.i.n.  extension 02;j.i.n.;;extension;02;;;;;;;;;;;
j.i.n. n°8 extension 03;;n°8;j.i.n.  extension 03;j.i.n.;;extension;03;;;;;;;;;;;
j.i.n. n°8 extension 04;;n°8;j.i.n.  extension 04;j.i.n.;;extension;04;;;;;;;;;;;
j.i.n. n°8 extension 05;;n°8;j.i.n.  extension 05;j.i.n.;;extension;05;;;;;;;;;;;
esc.n°024 provincia del neuquenj.c.;esc.;n°024;provincia del neuquenj.c.;provincia;del;neuquenj.c.;;;;;;;;;;;;
i.s.f.d. de los robles;;;i.s.f.d. de los robles;i.s.f.d.;de;los;robles;;;;;;;;;;;
escuela especial n°003;escuela;n°003;especial;especial;;;;;;;;;;;;;;
centro educativo para jovenes y adultos(ex.bach.p/adulto);;;centro educativo para jovenes y adultos(ex.bach.p/adulto);centro;educativo;para;jovenes;y;adultos(ex.bach.p/adulto);;;;;;;;;
esc.n°142;esc.;n°142;;;;;;;;;;;;;;;;
esc.n°033 dr.pedro ignacio de castro barros;esc.;n°033;dr.pedro ignacio de castro barros;dr.pedro;ignacio;de;castro;barros;;;;;;;;;;
esc.n°141 ricardo rojas;esc.;n°141;ricardo rojas;ricardo;rojas;;;;;;;;;;;;;
esc.n°233;esc.;n°233;;;;;;;;;;;;;;;;
colegio provincial de villa mazan;colegio;;provincial de villa mazan;provincial;de;villa;mazan;;;;;;;;;;;
esc.n°036 armada argentina;esc.;n°036;armada argentina;armada;argentina;;;;;;;;;;;;;
esc.n°007 ramon agapito lujan;esc.;n°007;ramon agapito lujan;ramon;agapito;lujan;;;;;;;;;;;;
escuela provincial de comercio famatina;escuela;;provincial de comercio famatina;provincial;de;comercio;famatina;;;;;;;;;;;
esc.n°004 provincia de cordobaj.c.;esc.;n°004;provincia de cordobaj.c.;provincia;de;cordobaj.c.;;;;;;;;;;;;
esc.n°005 director miguel robador;esc.;n°005;director miguel robador;director;miguel;robador;;;;;;;;;;;;
i.s.f.d. madre teresa de calcuta;;;i.s.f.d. madre teresa de calcuta;i.s.f.d.;madre;teresa;de;calcuta;;;;;;;;;;
esc.n°137 virgen del rosario de san nicolas;esc.;n°137;virgen del rosario de san nicolas;virgen;del;rosario;de;san;nicolas;;;;;;;;;
esc.n°057 bernardino rivadaviaj.c.;esc.;n°057;bernardino rivadaviaj.c.;bernardino;rivadaviaj.c.;;;;;;;;;;;;;
esc.n°023 victor armando ledesma;esc.;n°023;victor armando ledesma;victor;armando;ledesma;;;;;;;;;;;;
escuela provincial agropecuaria de nivel medio;escuela;;provincial agropecuaria de nivel medio;provincial;agropecuaria;de;nivel;medio;;;;;;;;;;
j.i.n. n°7 carlos menem hijo;;n°7;j.i.n.  carlos menem hijo;j.i.n.;;carlos;menem;hijo;;;;;;;;;;
j.i.n. n°7 extension 01 pedro i.de castro barros;;n°7;j.i.n.  extension 01 pedro i.de castro barros;j.i.n.;;extension;01;pedro;i.de;castro;barros;;;;;;;
j.i.n. n°7 extension 02 rosario vera peñaloza;;n°7;j.i.n.  extension 02 rosario vera peñaloza;j.i.n.;;extension;02;rosario;vera;peñaloza;;;;;;;;
j.i.n. n°7 extension o3 dolores de la vega de calderon;;n°7;j.i.n.  extension o3 dolores de la vega de calderon;j.i.n.;;extension;o3;dolores;de;la;vega;de;calderon;;;;;
esc.n°256 gregoria matorras de san martin;esc.;n°256;gregoria matorras de san martin;gregoria;matorras;de;san;martin;;;;;;;;;;
escuela provincial agrotecnica de aimogasta;escuela;;provincial agrotecnica de aimogasta;provincial;agrotecnica;de;aimogasta;;;;;;;;;;;
colegio provincial san jose de las campanas;colegio;;provincial san jose de las campanas;provincial;san;jose;de;las;campanas;;;;;;;;;
esc.n°065 sra.ylda m.de robles jornada completa e.m.e.r.;esc.;n°065;sra.ylda m.de robles jornada completa e.m.e.r.;sra.ylda;m.de;robles;jornada;completa;e.m.e.r.;;;;;;;;;
colegio provincial de pituil;colegio;;provincial de pituil;provincial;de;pituil;;;;;;;;;;;;
colegio provincial de pituil - anexo santa cruz;colegio;;provincial de pituil - anexo santa cruz;provincial;de;pituil;-;anexo;santa;cruz;;;;;;;;
escuela provincial agropecuaria wolf schcolnik;escuela;;provincial agropecuaria wolf schcolnik;provincial;agropecuaria;wolf;schcolnik;;;;;;;;;;;
escuela n° 62 soberanía argentinajornada completa;escuela;;n° 62 soberanía argentinajornada completa;n°;62;soberanía;argentinajornada;completa;;;;;;;;;;
i.s.f.d. de famatina;;;i.s.f.d. de famatina;i.s.f.d.;de;famatina;;;;;;;;;;;;
esc.n°047 ejercito argentino;esc.;n°047;ejercito argentino;ejercito;argentino;;;;;;;;;;;;;
esc.n°122 leopoldo caamaño;esc.;n°122;leopoldo caamaño;leopoldo;caamaño;;;;;;;;;;;;;
esc.n°019 domingo matheuj.c.;esc.;n°019;domingo matheuj.c.;domingo;matheuj.c.;;;;;;;;;;;;;
esc.n°103 coronel nicolas barrosj.c.;esc.;n°103;coronel nicolas barrosj.c.;coronel;nicolas;barrosj.c.;;;;;;;;;;;;
colegio provincial pbro. virgilio c. ferreyra;colegio;;provincial pbro. virgilio c. ferreyra;provincial;pbro.;virgilio;c.;ferreyra;;;;;;;;;;
esc.n°270 belindo de la fuentej.c.;esc.;n°270;belindo de la fuentej.c.;belindo;de;la;fuentej.c.;;;;;;;;;;;
escuela especial n°006 niño alcalde;escuela;n°006;especial  niño alcalde;especial;;niño;alcalde;;;;;;;;;;;
esc.n°067 dominga esther funes;esc.;n°067;dominga esther funes;dominga;esther;funes;;;;;;;;;;;;
esc.n°064 justo jose de urquizaj.c.;esc.;n°064;justo jose de urquizaj.c.;justo;jose;de;urquizaj.c.;;;;;;;;;;;
esc.n°044 filomena navarro de gondoloj.c.;esc.;n°044;filomena navarro de gondoloj.c.;filomena;navarro;de;gondoloj.c.;;;;;;;;;;;
esc.n°277 flaviano de la colinaj.c.;esc.;n°277;flaviano de la colinaj.c.;flaviano;de;la;colinaj.c.;;;;;;;;;;;
esc.n°118 el retiro;esc.;n°118;el retiro;el;retiro;;;;;;;;;;;;;
centro educativo de nivel secundario (c.e.n.s) n°326;;n°326;centro educativo de nivel secundario (c.e.n.s);centro;educativo;de;nivel;secundario;(c.e.n.s);;;;;;;;;
jardin de infantes n°17 eugenia tos de aciar;jardin de infantes;n°17;eugenia tos de aciar;eugenia;tos;de;aciar;;;;;;;;;;;
colegio secundario pcial n°4(ex-centro educ.pcial.n°1);colegio;n°4;secundario pcial (ex-centro educ.pcial.);secundario;pcial;(ex-centro;educ.pcial.);;;;;;;;;;;
esc.n°039 timoteo gordillo;esc.;n°039;timoteo gordillo;timoteo;gordillo;;;;;;;;;;;;;
jardin de infantes n°37 prof.paola a.gaitan;jardin de infantes;n°37;prof.paola a.gaitan;prof.paola;a.gaitan;;;;;;;;;;;;;
colegio secundario profeta y martir monseñor enrique angelelli;colegio;;secundario profeta y martir monseñor enrique angelelli;secundario;profeta;y;martir;monseñor;enrique;angelelli;;;;;;;;
esc.n°021 fronteras argentinas;esc.;n°021;fronteras argentinas;fronteras;argentinas;;;;;;;;;;;;;
esc.n°071 directora andrea paez orquera;esc.;n°071;directora andrea paez orquera;directora;andrea;paez;orquera;;;;;;;;;;;
esc.n°343 policia federal argentina;esc.;n°343;policia federal argentina;policia;federal;argentina;;;;;;;;;;;;
esc.n°231 maestro ramon eloy lopez;esc.;n°231;maestro ramon eloy lopez;maestro;ramon;eloy;lopez;;;;;;;;;;;
esc.n°160 felipe leonardo davila;esc.;n°160;felipe leonardo davila;felipe;leonardo;davila;;;;;;;;;;;;
esc.n°135 jose armando quiroga soaje;esc.;n°135;jose armando quiroga soaje;jose;armando;quiroga;soaje;;;;;;;;;;;
c.e.j.a. centro educativo de jovenes y adultos;;;c.e.j.a. centro educativo de jovenes y adultos;c.e.j.a.;centro;educativo;de;jovenes;y;adultos;;;;;;;;
centro educativo aicuña(ex-esc.n°068arsenio salinas);esc.;n°068;centro educativo aicuña(ex-arsenio salinas);centro;educativo;aicuña(ex-arsenio;salinas);;;;;;;;;;;
esc.n°069 director geronimo flores;esc.;n°069;director geronimo flores;director;geronimo;flores;;;;;;;;;;;;
esc.n°284 fray luis beltran;esc.;n°284;fray luis beltran;fray;luis;beltran;;;;;;;;;;;;
esc.n°324 granadero vargas;esc.;n°324;granadero vargas;granadero;vargas;;;;;;;;;;;;;
esc.n°209 club argentino de servicios;esc.;n°209;club argentino de servicios;club;argentino;de;servicios;;;;;;;;;;;
esc.n°278 miguel estanislao soler;esc.;n°278;miguel estanislao soler;miguel;estanislao;soler;;;;;;;;;;;;
esc.n°261 9 de julio;esc.;n°261;9 de julio;9;de;julio;;;;;;;;;;;;
colegio secundario provincial de anguinan;colegio;;secundario provincial de anguinan;secundario;provincial;de;anguinan;;;;;;;;;;;
colegio secundario provincial de anguinan (esc.n°345);colegio;n°345;secundario provincial de anguinan ();secundario;provincial;de;anguinan;();;;;;;;;;;
