Nombre;Tipo;Numeración;Nombre_limpio;Token0;Token1;Token2;Token3;Token4;Token5;Token6;Token7;Token8;Token9;Token10;Token11;Token12;Token13;Token14
unidad educativa comunitaria n°52 chilecito;;n°52;unidad educativa comunitaria  chilecito;unidad;educativa;comunitaria;;chilecito;;;;;;;;;;
esc.n°364;esc.;n°364;;;;;;;;;;;;;;;;
esc.n°088 andrea picon zalazar;esc.;n°088;andrea picon zalazar;andrea;picon;zalazar;;;;;;;;;;;;
esc.n°206;esc.;n°206;;;;;;;;;;;;;;;;
esc.n°056 gral.manuel belgrano;esc.;n°056;gral.manuel belgrano;gral.manuel;belgrano;;;;;;;;;;;;;
esc.n°140 maria estela torres de sufan;esc.;n°140;maria estela torres de sufan;maria;estela;torres;de;sufan;;;;;;;;;;
esc.n°367;esc.;n°367;;;;;;;;;;;;;;;;
esc.n°400;esc.;n°400;;;;;;;;;;;;;;;;
j.i.n. n°4;;n°4;j.i.n.;j.i.n.;;;;;;;;;;;;;;
j.i.n. n°4 extension 01;;n°4;j.i.n.  extension 01;j.i.n.;;extension;01;;;;;;;;;;;
colegio secundario provincial de pagancillo;colegio;;secundario provincial de pagancillo;secundario;provincial;de;pagancillo;;;;;;;;;;;
extension aulica rural aicuña;;;extension aulica rural aicuña;extension;aulica;rural;aicuña;;;;;;;;;;;
centro primario para adultos n°38;;n°38;centro primario para adultos;centro;primario;para;adultos;;;;;;;;;;;
centro primario para adultos n°100;;n°100;centro primario para adultos;centro;primario;para;adultos;;;;;;;;;;;
centro de capacitacion laboral n°44;;n°44;centro de capacitacion laboral;centro;de;capacitacion;laboral;;;;;;;;;;;
unidad educativa para adultos nº59;;;unidad educativa para adultos nº59;unidad;educativa;para;adultos;nº59;;;;;;;;;;
centro de capacitacion laboral n°61;;n°61;centro de capacitacion laboral;centro;de;capacitacion;laboral;;;;;;;;;;;
unidad educativa para adultos n°35;;n°35;unidad educativa para adultos;unidad;educativa;para;adultos;;;;;;;;;;;
unidad primario para adultos nro 28;;;unidad primario para adultos nro 28;unidad;primario;para;adultos;nro;28;;;;;;;;;
unidad educativa ciclo primario n°15;;n°15;unidad educativa ciclo primario;unidad;educativa;ciclo;primario;;;;;;;;;;;
unidad educativa ciclo primario n°14;;n°14;unidad educativa ciclo primario;unidad;educativa;ciclo;primario;;;;;;;;;;;
unidad educativa ciclo primario n°13;;n°13;unidad educativa ciclo primario;unidad;educativa;ciclo;primario;;;;;;;;;;;
unidad educativa ciclo primario n°45;;n°45;unidad educativa ciclo primario;unidad;educativa;ciclo;primario;;;;;;;;;;;
unidad educativa comunitaria n°39 fray bernardino gomez;;n°39;unidad educativa comunitaria  fray bernardino gomez;unidad;educativa;comunitaria;;fray;bernardino;gomez;;;;;;;;
unidad educativa nuclearizadas nonogasta (n°21);;n°21;unidad educativa nuclearizadas nonogasta ();unidad;educativa;nuclearizadas;nonogasta;();;;;;;;;;;
unidad educativa ciclo primario n°6;;n°6;unidad educativa ciclo primario;unidad;educativa;ciclo;primario;;;;;;;;;;;
unidad educativa ciclo primario n°6 a;;n°6;unidad educativa ciclo primario  a;unidad;educativa;ciclo;primario;;a;;;;;;;;;
unidad educativa de jovenes y adultos n°3;;n°3;unidad educativa de jovenes y adultos;unidad;educativa;de;jovenes;y;adultos;;;;;;;;;
unidad educativa ciclo primario n°2;;n°2;unidad educativa ciclo primario;unidad;educativa;ciclo;primario;;;;;;;;;;;
unidad educativa ciclo primario n°1;;n°1;unidad educativa ciclo primario;unidad;educativa;ciclo;primario;;;;;;;;;;;
centro educativo de adultos nivel primario n°58;;n°58;centro educativo de adultos nivel primario;centro;educativo;de;adultos;nivel;primario;;;;;;;;;
unidad educativa n°54;;n°54;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa de jovenes y adultos n°56;;n°56;unidad educativa de jovenes y adultos;unidad;educativa;de;jovenes;y;adultos;;;;;;;;;
instituto superior albert einstein;instituto;;superior albert einstein;superior;albert;einstein;;;;;;;;;;;;
j.i.n. n°1;;n°1;j.i.n.;j.i.n.;;;;;;;;;;;;;;
j.i.n. n°1 extension 01(extension rivadavia);;n°1;j.i.n.  extension 01(extension rivadavia);j.i.n.;;extension;01(extension;rivadavia);;;;;;;;;;
j.i.n. n°2 niño jesus de praga;;n°2;j.i.n.  niño jesus de praga;j.i.n.;;niño;jesus;de;praga;;;;;;;;;
j.i.n. n°2 extension 01;;n°2;j.i.n.  extension 01;j.i.n.;;extension;01;;;;;;;;;;;
j.i.n. n°2  guillermo moreno extension 02;;n°2;j.i.n.   guillermo moreno extension 02;j.i.n.;;;guillermo;moreno;extension;02;;;;;;;;
j.i.n. n°2 semillita extension 03;;n°2;j.i.n.  semillita extension 03;j.i.n.;;semillita;extension;03;;;;;;;;;;
j.i.n. n°2 extension 04;;n°2;j.i.n.  extension 04;j.i.n.;;extension;04;;;;;;;;;;;
centro educativo diocesano pio xii - colegio pio xii  (ex-col. sec. parroquial pio xii);colegio;;centro educativo diocesano pio xii -  pio xii  (ex-col. sec. parroquial pio xii);centro;educativo;diocesano;pio;xii;-;;pio;xii;;(ex-col.;sec.;parroquial;pio;xii)
centro educativo dioscesano pio xii jardin de infantes pio xii;jardin de infantes;;centro educativo dioscesano pio xii  pio xii;centro;educativo;dioscesano;pio;xii;;pio;xii;;;;;;;
jardin de infantes atepeito;jardin de infantes;;atepeito;atepeito;;;;;;;;;;;;;;
jardin de infantes atepeito anexo milagro;jardin de infantes;;atepeito anexo milagro;atepeito;anexo;milagro;;;;;;;;;;;;
esc.privada federalito;esc.;;privada federalito;privada;federalito;;;;;;;;;;;;;
esc.privada i.a.e.s. (nivel inicial y egb 1y2);esc.;;privada i.a.e.s. (nivel inicial y egb 1y2);privada;i.a.e.s.;(nivel;inicial;y;egb;1y2);;;;;;;;
esc.n°316 antonio gonzalez balcarce;esc.;n°316;antonio gonzalez balcarce;antonio;gonzalez;balcarce;;;;;;;;;;;;
esc.municipal n°1juan manuel fangio;esc.;n°1;municipal juan manuel fangio;municipal;juan;manuel;fangio;;;;;;;;;;;
jardin maternal municipal n°2 dr.albert sabin;;n°2;jardin maternal municipal  dr.albert sabin;jardin;maternal;municipal;;dr.albert;sabin;;;;;;;;;
unidad educativa para adultos n°24;;n°24;unidad educativa para adultos;unidad;educativa;para;adultos;;;;;;;;;;;
unidad educativa n°81;;n°81;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°91;;n°91;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°68;;n°68;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°79;;n°79;unidad educativa;unidad;educativa;;;;;;;;;;;;;
centro educativa n°30;;n°30;centro educativa;centro;educativa;;;;;;;;;;;;;
centro educativa n°26;;n°26;centro educativa;centro;educativa;;;;;;;;;;;;;
centro educativa n°29;;n°29;centro educativa;centro;educativa;;;;;;;;;;;;;
centro educativa n°86;;n°86;centro educativa;centro;educativa;;;;;;;;;;;;;
unidad educativa n°42;;n°42;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°95;;n°95;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°99;;n°99;unidad educativa;unidad;educativa;;;;;;;;;;;;;
centro educativa n°66;;n°66;centro educativa;centro;educativa;;;;;;;;;;;;;
centro educativa n°112;;n°112;centro educativa;centro;educativa;;;;;;;;;;;;;
unidad educativa n°29;;n°29;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°35;;n°35;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°33 de jovenes y adultos;;n°33;unidad educativa  de jovenes y adultos;unidad;educativa;;de;jovenes;y;adultos;;;;;;;;
unidad educativa n°62;;n°62;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°3 a;;n°3;unidad educativa  a;unidad;educativa;;a;;;;;;;;;;;
unidad educativa n°51;;n°51;unidad educativa;unidad;educativa;;;;;;;;;;;;;
c.a.p. n°82;;n°82;c.a.p.;c.a.p.;;;;;;;;;;;;;;
centro educativo n°53;;n°53;centro educativo;centro;educativo;;;;;;;;;;;;;
centro de adulto n°64;;n°64;centro de adulto;centro;de;adulto;;;;;;;;;;;;
centro de adulto n°63;;n°63;centro de adulto;centro;de;adulto;;;;;;;;;;;;
centro educativo n°37;;n°37;centro educativo;centro;educativo;;;;;;;;;;;;;
unidad educativa nuclearizada n°9;;n°9;unidad educativa nuclearizada;unidad;educativa;nuclearizada;;;;;;;;;;;;
jardin de infantes n°41 colonia frutihorticola;jardin de infantes;n°41;colonia frutihorticola;colonia;frutihorticola;;;;;;;;;;;;;
unidad educativa n°106;;n°106;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa laboral n°83;;n°83;unidad educativa laboral;unidad;educativa;laboral;;;;;;;;;;;;
centro de formacion profesional n°2;;n°2;centro de formacion profesional;centro;de;formacion;profesional;;;;;;;;;;;
centro de capacitacion laboral n°19;;n°19;centro de capacitacion laboral;centro;de;capacitacion;laboral;;;;;;;;;;;
unidad educativa n°30;;n°30;unidad educativa;unidad;educativa;;;;;;;;;;;;;
centro de capacitacion laboral n°94;;n°94;centro de capacitacion laboral;centro;de;capacitacion;laboral;;;;;;;;;;;
centro laboral n°44;;n°44;centro laboral;centro;laboral;;;;;;;;;;;;;
centro de capacitacion laboral n°104;;n°104;centro de capacitacion laboral;centro;de;capacitacion;laboral;;;;;;;;;;;
centro educativo laboral n°13;;n°13;centro educativo laboral;centro;educativo;laboral;;;;;;;;;;;;
unidad educativa n°16;;n°16;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa de capacitacion laboral n°22;;n°22;unidad educativa de capacitacion laboral;unidad;educativa;de;capacitacion;laboral;;;;;;;;;;
unidad educativa de capacitacion laboral n°20;;n°20;unidad educativa de capacitacion laboral;unidad;educativa;de;capacitacion;laboral;;;;;;;;;;
unidad educativa de capacitacion laboral n°18;;n°18;unidad educativa de capacitacion laboral;unidad;educativa;de;capacitacion;laboral;;;;;;;;;;
unidad educativa de capacitacion laboral n°27;;n°27;unidad educativa de capacitacion laboral;unidad;educativa;de;capacitacion;laboral;;;;;;;;;;
unidad educativa de capacitacion laboral n°26;;n°26;unidad educativa de capacitacion laboral;unidad;educativa;de;capacitacion;laboral;;;;;;;;;;
unidad educativa de capacitacion laboral anguinan;;;unidad educativa de capacitacion laboral anguinan;unidad;educativa;de;capacitacion;laboral;anguinan;;;;;;;;;
unidad educativa de anguinan capacitacion laboral;;;unidad educativa de anguinan capacitacion laboral;unidad;educativa;de;anguinan;capacitacion;laboral;;;;;;;;;
unidad educativa n°11 capacitacin laboral;;n°11;unidad educativa  capacitacin laboral;unidad;educativa;;capacitacin;laboral;;;;;;;;;;
unidad educativa n°10;;n°10;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa de capacitacion laboral n°9;;n°9;unidad educativa de capacitacion laboral;unidad;educativa;de;capacitacion;laboral;;;;;;;;;;
unidad educativa de capacitacion laboral n°9 a;;n°9;unidad educativa de capacitacion laboral  a;unidad;educativa;de;capacitacion;laboral;;a;;;;;;;;
unidad educativa de capacitacion laboral n° 8;;;unidad educativa de capacitacion laboral n° 8;unidad;educativa;de;capacitacion;laboral;n°;8;;;;;;;;
esc.n°339 de hilados y tejidos;esc.;n°339;de hilados y tejidos;de;hilados;y;tejidos;;;;;;;;;;;
unidad educativa manual  n°16;;n°16;unidad educativa manual;unidad;educativa;manual;;;;;;;;;;;;
esc.n°253 patricio del sacramento;esc.;n°253;patricio del sacramento;patricio;del;sacramento;;;;;;;;;;;;
unidad educativa n°4;;n°4;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°7 capacitacion laboral;;n°7;unidad educativa  capacitacion laboral;unidad;educativa;;capacitacion;laboral;;;;;;;;;;
instituto privado crecer;instituto;;privado crecer;privado;crecer;;;;;;;;;;;;;
jardin de infantes n°43 rosario vera peñaloza;jardin de infantes;n°43;rosario vera peñaloza;rosario;vera;peñaloza;;;;;;;;;;;;
c.a.p. n°48;;n°48;c.a.p.;c.a.p.;;;;;;;;;;;;;;
unidad educativa n°18 (ex c.a.p.1a);;n°18;unidad educativa  (ex c.a.p.1a);unidad;educativa;;(ex;c.a.p.1a);;;;;;;;;;
c.a.p. n°03;;n°03;c.a.p.;c.a.p.;;;;;;;;;;;;;;
c.a.p. n°04 a;;n°04;c.a.p.  a;c.a.p.;;a;;;;;;;;;;;;
c.a.p. n°08;;n°08;c.a.p.;c.a.p.;;;;;;;;;;;;;;
c.a.p. n°05;;n°05;c.a.p.;c.a.p.;;;;;;;;;;;;;;
c.a.p. n°06;;n°06;c.a.p.;c.a.p.;;;;;;;;;;;;;;
c.a.p. n°51;;n°51;c.a.p.;c.a.p.;;;;;;;;;;;;;;
c.a.p. n°10;;n°10;c.a.p.;c.a.p.;;;;;;;;;;;;;;
c.a.p. n°01;;n°01;c.a.p.;c.a.p.;;;;;;;;;;;;;;
c.a.p. n°17;;n°17;c.a.p.;c.a.p.;;;;;;;;;;;;;;
c.a.p. n°12 b;;n°12;c.a.p.  b;c.a.p.;;b;;;;;;;;;;;;
esc.municipal n°2juan domingo peron;esc.;n°2;municipal juan domingo peron;municipal;juan;domingo;peron;;;;;;;;;;;
esc.n°401 san antonio;esc.;n°401;san antonio;san;antonio;;;;;;;;;;;;;
centro educativo n°55;;n°55;centro educativo;centro;educativo;;;;;;;;;;;;;
unidad educativa n°54;;n°54;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°57;;n°57;unidad educativa;unidad;educativa;;;;;;;;;;;;;
centro de formacion profesional n°03;;n°03;centro de formacion profesional;centro;de;formacion;profesional;;;;;;;;;;;
unidad educativa n°69;;n°69;unidad educativa;unidad;educativa;;;;;;;;;;;;;
unidad educativa n°78;;n°78;unidad educativa;unidad;educativa;;;;;;;;;;;;;
centro educativo n°34  centro de alfabetizacion;;n°34;centro educativo   centro de alfabetizacion;centro;educativo;;;centro;de;alfabetizacion;;;;;;;;
centro laboral n°49;;n°49;centro laboral;centro;laboral;;;;;;;;;;;;;
centro educativo n°114;;n°114;centro educativo;centro;educativo;;;;;;;;;;;;;
esc.privada gabriela mistral (jornada simple);esc.;;privada gabriela mistral (jornada simple);privada;gabriela;mistral;(jornada;simple);;;;;;;;;;
centro educativo n°38;;n°38;centro educativo;centro;educativo;;;;;;;;;;;;;
i.s.f.d. dr.jose s.salinas;;;i.s.f.d. dr.jose s.salinas;i.s.f.d.;dr.jose;s.salinas;;;;;;;;;;;;
i.s.f.d. juan f. quiroga;;;i.s.f.d. juan f. quiroga;i.s.f.d.;juan;f.;quiroga;;;;;;;;;;;
c.a.p. n°11;;n°11;c.a.p.;c.a.p.;;;;;;;;;;;;;;
c.a.p. n°14 b;;n°14;c.a.p.  b;c.a.p.;;b;;;;;;;;;;;;
c.a.p. n°15;;n°15;c.a.p.;c.a.p.;;;;;;;;;;;;;;
i.s.f.t. ing.otto krause;;;i.s.f.t. ing.otto krause;i.s.f.t.;ing.otto;krause;;;;;;;;;;;;
instituto superior de formación integral en seguridad pública ;instituto;;superior de formación integral en seguridad pública;superior;de;formación;integral;en;seguridad;pública;;;;;;;;
esc.n°358 juan julio ibañez;esc.;n°358;juan julio ibañez;juan;julio;ibañez;;;;;;;;;;;;
colegio privado santo tomas de aquino;colegio;;privado santo tomas de aquino;privado;santo;tomas;de;aquino;;;;;;;;;;
jardin de infantes n°47;jardin de infantes;n°47;;;;;;;;;;;;;;;;
esc.n°291 prof.sixto alciro brizuela;esc.;n°291;prof.sixto alciro brizuela;prof.sixto;alciro;brizuela;;;;;;;;;;;;
centro de desarrollo infantil  san pio de pietrelcina;;;centro de desarrollo infantil  san pio de pietrelcina;centro;de;desarrollo;infantil;;san;pio;de;pietrelcina;;;;;;
colegio privado san antonio de padua;colegio;;privado san antonio de padua;privado;san;antonio;de;padua;;;;;;;;;;
esc. de gestion comunitaria;esc.;;de gestion comunitaria;de;gestion;comunitaria;;;;;;;;;;;;
jardin de infantes miguel de cervantes;jardin de infantes;;miguel de cervantes;miguel;de;cervantes;;;;;;;;;;;;
centro provincial de educacion fisica n°3;;n°3;centro provincial de educacion fisica;centro;provincial;de;educacion;fisica;;;;;;;;;;
unidad educativa n°19;;n°19;unidad educativa;unidad;educativa;;;;;;;;;;;;;
centro de animacion socio cultural n°103;;n°103;centro de animacion socio cultural;centro;de;animacion;socio;cultural;;;;;;;;;;
j.i.n. n°17;;n°17;j.i.n.;j.i.n.;;;;;;;;;;;;;;
j.i.n. n°17 extension 01;;n°17;j.i.n.  extension 01;j.i.n.;;extension;01;;;;;;;;;;;
j.i.n. n°17 extension 03;;n°17;j.i.n.  extension 03;j.i.n.;;extension;03;;;;;;;;;;;
j.i.n. n°17 extension 04;;n°17;j.i.n.  extension 04;j.i.n.;;extension;04;;;;;;;;;;;
j.i.n. n°13;;n°13;j.i.n.;j.i.n.;;;;;;;;;;;;;;
j.i.n. n°13 extension 01;;n°13;j.i.n.  extension 01;j.i.n.;;extension;01;;;;;;;;;;;
j.i.n. n°13 extension 02;;n°13;j.i.n.  extension 02;j.i.n.;;extension;02;;;;;;;;;;;
j.i.n. n°13 extension 03 (mollaco);;n°13;j.i.n.  extension 03 (mollaco);j.i.n.;;extension;03;(mollaco);;;;;;;;;;
j.i.n.n°13 extension 04 (san antonio);;n°13;j.i.n. extension 04 (san antonio);j.i.n.;extension;04;(san;antonio);;;;;;;;;;
colegio tecnologico provincial ing. luis augusto huergo;colegio;;tecnologico provincial ing. luis augusto huergo;tecnologico;provincial;ing.;luis;augusto;huergo;;;;;;;;;
centro de animacion socio cultural y tecnico;;;centro de animacion socio cultural y tecnico;centro;de;animacion;socio;cultural;y;tecnico;;;;;;;;
centro de animacion socio cultural-cuipan;;;centro de animacion socio cultural-cuipan;centro;de;animacion;socio;cultural-cuipan;;;;;;;;;;
esc.n°403;esc.;n°403;;;;;;;;;;;;;;;;
centro de animacion socio cultural;;;centro de animacion socio cultural;centro;de;animacion;socio;cultural;;;;;;;;;;
centro provincial de educacion fisica n°5;;n°5;centro provincial de educacion fisica;centro;provincial;de;educacion;fisica;;;;;;;;;;
c.a.p. n°19 a;;n°19;c.a.p.  a;c.a.p.;;a;;;;;;;;;;;;
c.a.p. n°19 ;;n°19;c.a.p.;c.a.p.;;;;;;;;;;;;;;
centro provincial de educacion fisica n°6 olta;;n°6;centro provincial de educacion fisica  olta;centro;provincial;de;educacion;fisica;;olta;;;;;;;;
centro provincial de educacion fisica n°2;;n°2;centro provincial de educacion fisica;centro;provincial;de;educacion;fisica;;;;;;;;;;
jardin de infantes municipal teresa m.de barros chilecito;jardin de infantes;;municipal teresa m.de barros chilecito;municipal;teresa;m.de;barros;chilecito;;;;;;;;;;
centro provincial de educacion fisica n°4;;n°4;centro provincial de educacion fisica;centro;provincial;de;educacion;fisica;;;;;;;;;;
esc.privada jean piaget;esc.;;privada jean piaget;privada;jean;piaget;;;;;;;;;;;;
centro educativo de formadores de emprendimiento;;;centro educativo de formadores de emprendimiento;centro;educativo;de;formadores;de;emprendimiento;;;;;;;;;
jardin maternal municipal virgen de guadalupe;;;jardin maternal municipal virgen de guadalupe;jardin;maternal;municipal;virgen;de;guadalupe;;;;;;;;;
jardin de infantes n°45rosario ocampo de iribarren;jardin de infantes;n°45;rosario ocampo de iribarren;rosario;ocampo;de;iribarren;;;;;;;;;;;
jardin de infantes n°44;jardin de infantes;n°44;;;;;;;;;;;;;;;;
esc.de enseñanza artistica;esc.;;de enseñanza artistica;de;enseñanza;artistica;;;;;;;;;;;;
esc.n°402 mascasin;esc.;n°402;mascasin;mascasin;;;;;;;;;;;;;;
instituto privado de nivel inicial creciendo;instituto;;privado de nivel inicial creciendo;privado;de;nivel;inicial;creciendo;;;;;;;;;;
bachillerato para jovenes y adultos;;;bachillerato para jovenes y adultos;bachillerato;para;jovenes;y;adultos;;;;;;;;;;
bachillerato para jovenes y adultos extension aulica famatina;;;bachillerato para jovenes y adultos extension aulica famatina;bachillerato;para;jovenes;y;adultos;extension;aulica;famatina;;;;;;;
bachillerato para jovenes y adultos extension aulica de ulapes;;;bachillerato para jovenes y adultos extension aulica de ulapes;bachillerato;para;jovenes;y;adultos;extension;aulica;de;ulapes;;;;;;
bachillerato para jovenes y adultos extension aulica de pituil;;;bachillerato para jovenes y adultos extension aulica de pituil;bachillerato;para;jovenes;y;adultos;extension;aulica;de;pituil;;;;;;
terminacion de primaria (ctro.cap.n°42);;n°42;terminacion de primaria (ctro.cap.);terminacion;de;primaria;(ctro.cap.);;;;;;;;;;;
c.a.p. n°13 a;;n°13;c.a.p.  a;c.a.p.;;a;;;;;;;;;;;;
centro educativo n°406 rosario ocampo de iribarren;;n°406;centro educativo  rosario ocampo de iribarren;centro;educativo;;rosario;ocampo;de;iribarren;;;;;;;;
